path,directory,tag,timestamp,top1,top3,n_samples,class_set,lineage,split,comparable_phase2,reason
logs/phase1/eval_baseline_2026-05-09_01-56.json,phase1,baseline_v0,2026-05-09_01-56,0.127273,0.409091,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_iter1_2026-05-09_01-57.json,phase1,iteration_1,,0.154545,0.400000,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_iter2_2026-05-09_01-58.json,phase1,iteration_2,,0.181818,0.327273,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_iter3_2026-05-09_01-59.json,phase1,iteration_3,,0.090909,0.245455,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_iter4_2026-05-09_02-04.json,phase1,iteration_4,,0.245455,0.445455,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_iter5_2026-05-09_02-05.json,phase1,iteration_5,,0.181818,0.436364,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_iter6_2026-05-09_02-05.json,phase1,iteration_6,,0.245455,0.427273,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-13.json,phase1,phase1,2026-05-09_02-13,0.272727,0.390909,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-14.json,phase1,phase1,2026-05-09_02-14,0.227273,0.363636,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-15.json,phase1,phase1,2026-05-09_02-15,0.181818,0.345455,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-17.json,phase1,phase1,2026-05-09_02-17,0.254545,0.400000,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-18.json,phase1,phase1,2026-05-09_02-18,0.172727,0.300000,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-19.json,phase1,phase1,2026-05-09_02-19,0.190909,0.354545,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-20.json,phase1,phase1,2026-05-09_02-20,0.190909,0.381818,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-22.json,phase1,phase1,2026-05-09_02-22,0.200000,0.363636,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-25.json,phase1,phase1,2026-05-09_02-25,0.172727,0.427273,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-26-36.json,phase1,phase1,2026-05-09_02-26-36,0.218182,0.390909,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-27-23.json,phase1,phase1,2026-05-09_02-27-23,0.218182,0.381818,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-28-04.json,phase1,phase1,2026-05-09_02-28-04,0.281818,0.409091,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-31-05.json,phase1,phase1,2026-05-09_02-31-05,0.300000,0.545455,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-32-27.json,phase1,phase1,2026-05-09_02-32-27,0.263636,0.518182,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-32-54.json,phase1,phase1,2026-05-09_02-32-54,0.300000,0.545455,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-33-48.json,phase1,phase1,2026-05-09_02-33-48,0.290909,0.545455,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-34-41.json,phase1,phase1,2026-05-09_02-34-41,0.254545,0.472727,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-35-06.json,phase1,phase1,2026-05-09_02-35-06,0.254545,0.472727,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-35-38.json,phase1,phase1,2026-05-09_02-35-38,0.309091,0.545455,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-43-11.json,phase1,phase1,2026-05-09_02-43-11,0.336364,0.581818,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-43-39.json,phase1,phase1,2026-05-09_02-43-39,0.345455,0.590909,110,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-45-16.json,phase1,phase1,2026-05-09_02-45-16,0.273913,0.565217,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-47-53.json,phase1,phase1,2026-05-09_02-47-53,0.256522,0.565217,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-48-55.json,phase1,phase1,2026-05-09_02-48-55,0.256522,0.569565,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-51-46.json,phase1,phase1,2026-05-09_02-51-46,0.321739,0.686957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-53-22.json,phase1,phase1,2026-05-09_02-53-22,0.260870,0.634783,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-55-12.json,phase1,phase1,2026-05-09_02-55-12,0.343478,0.686957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-55-35.json,phase1,phase1,2026-05-09_02-55-35,0.360870,0.704348,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-56-42.json,phase1,phase1,2026-05-09_02-56-42,0.365217,0.708696,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-57-14.json,phase1,phase1,2026-05-09_02-57-14,0.352174,0.708696,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-59-00.json,phase1,phase1,2026-05-09_02-59-00,0.365217,0.708696,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_02-59-47.json,phase1,phase1,2026-05-09_02-59-47,0.373913,0.730435,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-01-45.json,phase1,phase1,2026-05-09_03-01-45,0.386957,0.739130,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-02-33.json,phase1,phase1,2026-05-09_03-02-33,0.386957,0.739130,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-03-20.json,phase1,phase1,2026-05-09_03-03-20,0.373913,0.726087,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-03-45.json,phase1,phase1,2026-05-09_03-03-45,0.395652,0.739130,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-04-50.json,phase1,phase1,2026-05-09_03-04-50,0.395652,0.739130,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-05-46.json,phase1,phase1,2026-05-09_03-05-46,0.382609,0.713043,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-06-08.json,phase1,phase1,2026-05-09_03-06-08,0.395652,0.747826,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-07-20.json,phase1,phase1,2026-05-09_03-07-20,0.400000,0.747826,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-08-26.json,phase1,phase1,2026-05-09_03-08-26,0.413043,0.765217,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-09-00.json,phase1,phase1,2026-05-09_03-09-00,0.404348,0.769565,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-09-46.json,phase1,phase1,2026-05-09_03-09-46,0.404348,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-10-31.json,phase1,phase1,2026-05-09_03-10-31,0.373913,0.773913,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-10-55.json,phase1,phase1,2026-05-09_03-10-55,0.404348,0.769565,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-11-16.json,phase1,phase1,2026-05-09_03-11-16,0.404348,0.769565,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-11-39.json,phase1,phase1,2026-05-09_03-11-39,0.413043,0.769565,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-11-55.json,phase1,phase1,2026-05-09_03-11-55,0.413043,0.769565,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-12-53.json,phase1,phase1,2026-05-09_03-12-53,0.417391,0.760870,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-13-27.json,phase1,phase1,2026-05-09_03-13-27,0.400000,0.765217,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-13-49.json,phase1,phase1,2026-05-09_03-13-49,0.417391,0.760870,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-15-42.json,phase1,phase1,2026-05-09_03-15-42,0.417391,0.760870,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-16-24.json,phase1,phase1,2026-05-09_03-16-24,0.434783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-17-48.json,phase1,phase1,2026-05-09_03-17-48,0.430435,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-18-12.json,phase1,phase1,2026-05-09_03-18-12,0.434783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-18-33.json,phase1,phase1,2026-05-09_03-18-33,0.430435,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_03-18-56.json,phase1,phase1,2026-05-09_03-18-56,0.434783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-09-37.json,phase1,phase1,2026-05-09_11-09-37,0.434783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-15-53.json,phase1,phase1,2026-05-09_11-15-53,0.421739,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-17-07.json,phase1,phase1,2026-05-09_11-17-07,0.430435,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-17-24.json,phase1,phase1,2026-05-09_11-17-24,0.430435,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-17-42.json,phase1,phase1,2026-05-09_11-17-42,0.430435,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-18-13.json,phase1,phase1,2026-05-09_11-18-13,0.439130,0.791304,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-21-12.json,phase1,phase1,2026-05-09_11-21-12,0.456522,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-23-37.json,phase1,phase1,2026-05-09_11-23-37,0.473913,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-25-36.json,phase1,phase1,2026-05-09_11-25-36,0.452174,0.773913,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-26-04.json,phase1,phase1,2026-05-09_11-26-04,0.473913,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-26-50.json,phase1,phase1,2026-05-09_11-26-50,0.473913,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-27-16.json,phase1,phase1,2026-05-09_11-27-16,0.460870,0.778261,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-27-57.json,phase1,phase1,2026-05-09_11-27-57,0.469565,0.769565,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-28-52.json,phase1,phase1,2026-05-09_11-28-52,0.473913,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-29-31.json,phase1,phase1,2026-05-09_11-29-31,0.482609,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-30-51.json,phase1,phase1,2026-05-09_11-30-51,0.478261,0.778261,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-31-16.json,phase1,phase1,2026-05-09_11-31-16,0.478261,0.778261,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-31-48.json,phase1,phase1,2026-05-09_11-31-48,0.482609,0.778261,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-32-50.json,phase1,phase1,2026-05-09_11-32-50,0.486957,0.778261,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-33-12.json,phase1,phase1,2026-05-09_11-33-12,0.486957,0.778261,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-33-58.json,phase1,phase1,2026-05-09_11-33-58,0.486957,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-34-39.json,phase1,phase1,2026-05-09_11-34-39,0.491304,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-35-47.json,phase1,phase1,2026-05-09_11-35-47,0.491304,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-36-21.json,phase1,phase1,2026-05-09_11-36-21,0.495652,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-37-23.json,phase1,phase1,2026-05-09_11-37-23,0.460870,0.765217,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-37-52.json,phase1,phase1,2026-05-09_11-37-52,0.495652,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-38-57.json,phase1,phase1,2026-05-09_11-38-57,0.491304,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-40-05.json,phase1,phase1,2026-05-09_11-40-05,0.504348,0.782609,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-41-43.json,phase1,phase1,2026-05-09_11-41-43,0.534783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-42-04.json,phase1,phase1,2026-05-09_11-42-04,0.534783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-43-00.json,phase1,phase1,2026-05-09_11-43-00,0.534783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-43-33.json,phase1,phase1,2026-05-09_11-43-33,0.534783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-45-06.json,phase1,phase1,2026-05-09_11-45-06,0.530435,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-45-29.json,phase1,phase1,2026-05-09_11-45-29,0.534783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-47-50.json,phase1,phase1,2026-05-09_11-47-50,0.534783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-54-12.json,phase1,phase1,2026-05-09_11-54-12,0.521739,0.769565,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-54-26.json,phase1,phase1,2026-05-09_11-54-26,0.521739,0.769565,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-54-48.json,phase1,phase1,2026-05-09_11-54-48,0.521739,0.773913,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-55-20.json,phase1,phase1,2026-05-09_11-55-20,0.517391,0.778261,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-56-04.json,phase1,phase1,2026-05-09_11-56-04,0.534783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-57-43.json,phase1,phase1,2026-05-09_11-57-43,0.534783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-59-05.json,phase1,phase1,2026-05-09_11-59-05,0.534783,0.786957,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_11-59-27.json,phase1,phase1,2026-05-09_11-59-27,0.539130,0.791304,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
logs/phase1/eval_phase1_2026-05-09_12-02-00.json,phase1,phase1,2026-05-09_12-02-00,0.539130,0.791304,230,phase1_10class,phase1,unknown,False,per-class labels match Phase 1 classes
